               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.033933,            0.014047,           0.0051739,             0.86273,             0.73797,             0.84189,              0.4489,            0.028584,           0.0052719,           0.0017974,           0.0070243,           0.0070243,           0.0070243
                 119,             0.03446,            0.014127,           0.0056818,             0.88645,              0.7181,             0.83395,             0.44437,            0.029194,           0.0052878,           0.0022867,           0.0069799,           0.0069799,           0.0069799
                 120,            0.033382,            0.013953,           0.0046187,             0.79918,             0.77442,             0.82752,             0.42261,            0.030181,           0.0052846,           0.0017624,           0.0069353,           0.0069353,           0.0069353
                 121,             0.03489,            0.014434,           0.0046149,             0.88904,              0.7084,             0.83523,             0.45086,            0.029715,           0.0052842,           0.0017732,           0.0068906,           0.0068906,           0.0068906
                 122,            0.033982,            0.014033,            0.005159,             0.78527,             0.84189,             0.86545,             0.47855,            0.028104,           0.0051612,           0.0011893,           0.0068457,           0.0068457,           0.0068457
                 123,            0.033399,            0.013983,           0.0042619,             0.74713,             0.77565,             0.81341,             0.45051,            0.029199,           0.0052688,           0.0019551,           0.0068006,           0.0068006,           0.0068006
                 124,            0.033304,            0.014276,           0.0051834,             0.80843,             0.75234,             0.82318,             0.45579,            0.028802,           0.0052447,           0.0018019,           0.0067555,           0.0067555,           0.0067555
                 125,            0.033551,            0.014791,           0.0050397,             0.78835,             0.77733,             0.82759,             0.46802,            0.028618,           0.0051464,           0.0026387,           0.0067101,           0.0067101,           0.0067101
                 126,            0.032463,            0.013915,           0.0042361,             0.90986,             0.73689,             0.85654,             0.47456,            0.028343,           0.0051774,           0.0022075,           0.0066647,           0.0066647,           0.0066647
                 127,            0.033323,            0.013668,           0.0037278,             0.84231,             0.75314,             0.84129,             0.46768,            0.028233,           0.0052476,           0.0022307,           0.0066191,           0.0066191,           0.0066191
                 128,            0.033564,            0.014091,           0.0058761,             0.79954,             0.79726,             0.85186,             0.47295,            0.029102,           0.0051302,           0.0024311,           0.0065734,           0.0065734,           0.0065734
                 129,            0.032653,            0.014283,           0.0056549,             0.85515,             0.75896,             0.84683,              0.4652,             0.02822,           0.0052125,           0.0021906,           0.0065276,           0.0065276,           0.0065276
                 130,            0.032715,            0.014291,           0.0041192,             0.86772,              0.7947,             0.86441,             0.46502,            0.028541,            0.005032,           0.0019253,           0.0064816,           0.0064816,           0.0064816
                 131,            0.031723,            0.013883,           0.0044241,             0.82111,             0.78248,             0.84003,             0.46181,            0.028091,           0.0051076,           0.0019657,           0.0064356,           0.0064356,           0.0064356
                 132,            0.032263,            0.013637,           0.0040524,             0.88778,             0.69543,              0.8313,             0.47489,            0.027626,           0.0050988,           0.0023696,           0.0063895,           0.0063895,           0.0063895
                 133,            0.031607,            0.013756,           0.0046842,             0.82524,             0.79188,             0.84427,             0.45753,            0.026572,            0.005118,           0.0019489,           0.0063432,           0.0063432,           0.0063432
                 134,            0.031201,            0.013367,           0.0032489,             0.83711,             0.79573,             0.86578,             0.48935,            0.026557,           0.0049916,           0.0023753,           0.0062969,           0.0062969,           0.0062969
                 135,            0.031473,            0.013976,           0.0045384,             0.78793,             0.77312,             0.82813,             0.46306,            0.026128,           0.0050862,           0.0023514,           0.0062505,           0.0062505,           0.0062505
                 136,            0.033145,            0.013993,           0.0045375,             0.81689,             0.80632,             0.86316,             0.49118,            0.027233,           0.0050922,           0.0019651,            0.006204,            0.006204,            0.006204
                 137,            0.033577,            0.013656,           0.0039785,             0.89983,             0.79028,             0.88174,             0.50785,            0.026471,           0.0049916,           0.0019662,           0.0061574,           0.0061574,           0.0061574
                 138,            0.032394,            0.013729,           0.0039439,             0.85492,              0.7719,             0.86045,             0.48959,            0.027578,           0.0051209,           0.0021168,           0.0061107,           0.0061107,           0.0061107
                 139,            0.033333,            0.013971,           0.0047492,             0.81409,             0.76223,             0.85092,             0.49733,            0.027334,           0.0051014,           0.0033324,            0.006064,            0.006064,            0.006064
                 140,            0.031838,            0.013596,            0.004341,             0.81133,             0.80855,             0.84899,             0.49231,            0.028771,           0.0050697,           0.0019342,           0.0060172,           0.0060172,           0.0060172
                 141,             0.03247,            0.013774,           0.0044208,             0.83883,             0.79897,             0.84394,             0.47845,            0.028893,           0.0051476,           0.0017973,           0.0059704,           0.0059704,           0.0059704
                 142,            0.033127,            0.013432,           0.0042048,             0.82651,             0.81363,             0.85561,             0.50681,             0.02813,            0.005018,           0.0022016,           0.0059235,           0.0059235,           0.0059235
                 143,            0.032214,            0.013624,           0.0045268,             0.90096,             0.77909,             0.87036,             0.49537,            0.026753,           0.0050295,            0.001874,           0.0058766,           0.0058766,           0.0058766
                 144,            0.032117,            0.013511,           0.0043651,             0.85393,             0.80018,             0.86616,             0.50849,            0.027148,           0.0051099,             0.00199,           0.0058296,           0.0058296,           0.0058296
                 145,            0.029946,            0.013499,           0.0039701,             0.84451,             0.78916,             0.85149,             0.48896,             0.02667,           0.0051775,           0.0016991,           0.0057826,           0.0057826,           0.0057826
                 146,            0.030225,            0.013615,            0.003427,             0.90555,             0.78183,             0.87846,             0.48446,            0.027622,           0.0051003,           0.0018874,           0.0057355,           0.0057355,           0.0057355
                 147,            0.030972,            0.013771,           0.0036423,             0.85755,             0.78047,             0.85597,             0.48764,            0.027377,           0.0050409,           0.0015954,           0.0056884,           0.0056884,           0.0056884
                 148,            0.030808,            0.013595,            0.002889,             0.87633,              0.7724,              0.8584,              0.4958,            0.027084,           0.0050327,           0.0016099,           0.0056413,           0.0056413,           0.0056413
                 149,            0.032225,            0.013745,           0.0032127,             0.85707,              0.8019,             0.87367,             0.48351,            0.027304,           0.0050636,           0.0016146,           0.0055942,           0.0055942,           0.0055942
                 150,            0.030348,            0.013122,           0.0047455,              0.8704,             0.79942,             0.87272,             0.50823,            0.026844,           0.0050072,           0.0015742,           0.0055471,           0.0055471,           0.0055471
                 151,             0.03198,             0.01368,            0.005544,             0.82744,             0.76534,             0.83309,             0.47666,            0.027247,           0.0050735,           0.0019443,              0.0055,              0.0055,              0.0055
                 152,            0.031266,            0.013677,           0.0041425,             0.83766,             0.76384,             0.83557,             0.47658,            0.028515,           0.0050896,           0.0018531,           0.0054529,           0.0054529,           0.0054529
                 153,            0.030943,            0.013887,           0.0034995,             0.84503,             0.74969,             0.83302,             0.47607,            0.027327,           0.0048322,           0.0017847,           0.0054058,           0.0054058,           0.0054058
                 154,            0.031608,            0.013347,           0.0038315,             0.86931,             0.76322,             0.85659,             0.50286,            0.027547,           0.0048674,           0.0017155,           0.0053587,           0.0053587,           0.0053587
